label,item,condition,red,green,blue,gr_ratio
orange_rotten,orange,rotten,230.5987,155.8942,59.1819,0.6760411022436766
orange_rotten,orange,rotten,173.0752,103.4241,81.7484,0.5975674123296266
orange_rotten,orange,rotten,162.3632,149.0053,138.3016,0.9177282726767625
orange_rotten,orange,rotten,160.6784,143.7964,130.4598,0.8949329785775003
orange_rotten,orange,rotten,168.7263,150.5664,140.9314,0.892370656546308
orange_rotten,orange,rotten,233.7475,228.0834,225.9093,0.9757682928126792
orange_rotten,orange,rotten,152.2581,124.8739,111.2362,0.8201461805963283
orange_rotten,orange,rotten,232.0462,192.1684,152.8754,0.8281471498858971
orange_rotten,orange,rotten,221.2026,197.5698,187.0741,0.8931621920666294
orange_rotten,orange,rotten,166.4857,146.8562,132.0075,0.88209497342958
orange_rotten,orange,rotten,240.1155,196.5595,147.9432,0.8186039601000188
orange_rotten,orange,rotten,160.0043,144.3982,131.1022,0.9024644906264114
orange_rotten,orange,rotten,169.8387,154.4243,142.1355,0.9092409391426045
orange_rotten,orange,rotten,217.1385,173.2502,135.2992,0.7978787695508684
orange_rotten,orange,rotten,167.4227,154.8837,145.785,0.925105729837676
orange_rotten,orange,rotten,170.6466,158.5804,146.6408,0.9292912901324064
orange_rotten,orange,rotten,158.2643,140.9979,113.9181,0.8909014800501346
orange_rotten,orange,rotten,171.3991,155.5735,144.6559,0.9076681213164589
orange_rotten,orange,rotten,89.356,80.8012,56.2555,0.9042615951445724
orange_rotten,orange,rotten,182.5911,166.1259,151.8136,0.9098247345581206
orange_rotten,orange,rotten,89.3277,80.9425,55.3223,0.9061298913312457
orange_rotten,orange,rotten,170.2872,133.5313,94.1306,0.7841534725795392
orange_rotten,orange,rotten,215.4752,181.773,155.5908,0.8435912771233475
orange_rotten,orange,rotten,164.9646,154.5668,143.2119,0.9369695017175231
orange_rotten,orange,rotten,167.141,151.5852,139.5116,0.9069300715747179
orange_rotten,orange,rotten,205.194,147.8593,113.0373,0.7205829570036991
orange_rotten,orange,rotten,172.4954,157.4777,147.7535,0.912938542633957
orange_rotten,orange,rotten,163.3087,117.7819,113.8271,0.7212224411729293
orange_rotten,orange,rotten,180.2491,166.8573,152.4439,0.9257039234830914
orange_rotten,orange,rotten,125.775,123.7743,124.9589,0.98409301543158
orange_rotten,orange,rotten,166.8939,151.6354,141.6787,0.9085736452406371
orange_rotten,orange,rotten,181.6433,163.0464,146.0928,0.8976185694841562
orange_rotten,orange,rotten,168.5856,149.654,138.2183,0.8877033335723613
orange_rotten,orange,rotten,240.1155,196.5595,147.9432,0.8186039601000188
orange_rotten,orange,rotten,225.9142,207.3325,179.2559,0.9177488581162723
orange_rotten,orange,rotten,201.366,183.052,162.1678,0.9090511759231886
orange_rotten,orange,rotten,174.0706,154.9464,139.3801,0.8901353767371666
orange_rotten,orange,rotten,233.863,216.6882,195.527,0.9265604181655054
orange_rotten,orange,rotten,176.3069,145.6757,112.0648,0.8262620417790679
orange_rotten,orange,rotten,62.5189,62.618,65.5786,1.0015851046389956
orange_rotten,orange,rotten,193.7327,162.2634,145.2462,0.8375632981031942
orange_rotten,orange,rotten,179.7496,157.3623,143.2152,0.8754528473195332
orange_rotten,orange,rotten,174.7391,156.2911,143.936,0.8944254554680351
orange_rotten,orange,rotten,157.0881,137.3504,115.5721,0.8743526665969437
orange_rotten,orange,rotten,167.1962,150.9859,139.6371,0.9030462360804477
orange_rotten,orange,rotten,165.692,136.2114,89.0751,0.8220758949009253
orange_rotten,orange,rotten,178.5926,160.9859,150.1394,0.901414163288881
orange_rotten,orange,rotten,170.5212,162.2538,151.8558,0.9515168732596484
orange_rotten,orange,rotten,161.1882,125.9452,90.0724,0.7813549578607184
orange_rotten,orange,rotten,163.2056,135.841,99.3791,0.8323305031669839
orange_rotten,orange,rotten,161.2857,140.3899,131.0358,0.8704423214801914
orange_rotten,orange,rotten,168.5265,154.3539,145.3009,0.9159028347713694
orange_rotten,orange,rotten,161.8423,151.1904,142.2882,0.9341834555355217
orange_rotten,orange,rotten,163.7903,147.7649,136.1234,0.9021590356562078
orange_rotten,orange,rotten,191.2872,171.994,158.2876,0.8991401364067217
orange_rotten,orange,rotten,184.9026,168.0933,152.7711,0.9090910516721179
orange_rotten,orange,rotten,173.8044,158.6792,141.6654,0.9129757306893513
orange_rotten,orange,rotten,171.6658,151.395,127.3243,0.8819170686186937
orange_rotten,orange,rotten,174.2218,159.8719,148.3744,0.9176342976732287
orange_rotten,orange,rotten,171.8626,156.7946,136.9941,0.9123253057248913
orange_rotten,orange,rotten,169.591,160.5681,149.7515,0.9467961097770746
orange_rotten,orange,rotten,88.709,87.9835,79.6031,0.9918215627295814
orange_rotten,orange,rotten,90.0234,89.3948,81.7279,0.9930173600084272
orange_rotten,orange,rotten,165.2957,154.5557,142.7829,0.9350255273729109
orange_rotten,orange,rotten,184.0337,161.4938,138.6914,0.8775229706432953
orange_rotten,orange,rotten,173.2544,164.9577,154.9205,0.9521126104034724
orange_rotten,orange,rotten,167.6204,158.1048,150.4463,0.9432312478479277
orange_rotten,orange,rotten,139.0003,133.1167,129.2692,0.957672026911654
orange_rotten,orange,rotten,156.4427,139.0347,114.3099,0.8887260262784646
orange_rotten,orange,rotten,174.7746,176.6277,170.0828,1.0106027934802724
orange_rotten,orange,rotten,128.46,118.5804,109.7662,0.9230920058921687
orange_rotten,orange,rotten,171.5786,153.3273,141.464,0.8936271720737484
orange_rotten,orange,rotten,165.4895,154.3859,145.8217,0.9329044988781494
orange_rotten,orange,rotten,170.6354,154.6679,141.8813,0.9064232808290468
orange_rotten,orange,rotten,162.849,142.8643,125.8034,0.8772807884771734
orange_rotten,orange,rotten,164.8784,145.8787,130.8499,0.884765373240125
orange_rotten,orange,rotten,90.263,82.0097,56.6968,0.9085638533112808
orange_unripe,orange,unripe,56.0122,78.1039,36.6496,1.3944086932059678
orange_unripe,orange,unripe,38.3293,49.3954,33.1197,1.288711213387377
orange_unripe,orange,unripe,155.1749,159.3092,129.0952,1.0266428331731303
orange_unripe,orange,unripe,143.9229,150.2716,116.7504,1.0441118053894705
orange_unripe,orange,unripe,136.5601,162.4141,22.4881,1.1893232269943912
orange_unripe,orange,unripe,165.2229,158.2106,114.1053,0.9575585408707961
orange_unripe,orange,unripe,152.3314,147.6272,102.8506,0.9691186389075486
orange_unripe,orange,unripe,175.1604,197.3091,117.3341,1.1264480948522149
orange_unripe,orange,unripe,144.7533,145.7844,122.6453,1.0071231467115214
orange_unripe,orange,unripe,138.6973,143.438,107.063,1.0341801820642493
orange_unripe,orange,unripe,145.4493,150.9971,103.1776,1.0381424933764378
orange_unripe,orange,unripe,52.7448,77.5881,37.3561,1.4710094365509125
orange_unripe,orange,unripe,149.2325,147.2564,94.8898,0.9867582397483242
orange_unripe,orange,unripe,93.228,87.658,61.6657,0.9402539908583903
orange_unripe,orange,unripe,154.5463,149.9639,124.0834,0.9703493323984506
orange_unripe,orange,unripe,152.4533,159.077,122.2366,1.0434473963932076
orange_unripe,orange,unripe,158.0682,163.6891,115.8329,1.0355599606020696
orange_unripe,orange,unripe,113.264,103.9831,80.0248,0.9180595695184739
orange_unripe,orange,unripe,129.0554,131.3255,95.7816,1.017590112327031
orange_unripe,orange,unripe,113.4146,107.5279,62.106,0.9480957394542173
orange_unripe,orange,unripe,164.2216,162.3091,150.6087,0.9883541447144947
orange_unripe,orange,unripe,132.8737,138.9049,116.4573,1.0453904644381056
orange_unripe,orange,unripe,79.5013,120.9254,23.3826,1.5210493221991424
orange_unripe,orange,unripe,140.9809,146.7051,110.7924,1.0406026558164783
orange_unripe,orange,unripe,81.808,136.8775,44.0059,1.6731554166688414
orange_unripe,orange,unripe,155.0268,151.4459,111.6288,0.9769014068735121
orange_unripe,orange,unripe,141.1055,139.2075,85.0957,0.9865490644478844
orange_unripe,orange,unripe,148.6353,156.8216,116.9265,1.0550764114912379
orange_unripe,orange,unripe,134.6967,130.2179,94.0275,0.9667489926126698
orange_unripe,orange,unripe,218.5642,220.2379,202.6405,1.0076576996248348
orange_unripe,orange,unripe,112.2349,110.5856,94.885,0.9853049186544924
orange_unripe,orange,unripe,147.6182,143.5399,117.6469,0.9723726412300607
orange_unripe,orange,unripe,165.9354,160.7322,119.8273,0.9686432131501584
orange_unripe,orange,unripe,143.5048,134.417,90.8907,0.9366724950198706
orange_unripe,orange,unripe,150.5614,147.7982,124.2885,0.9816473479813065
orange_unripe,orange,unripe,78.8924,114.1403,47.1293,1.4467844628026976
orange_unripe,orange,unripe,142.1125,149.5704,116.3475,1.0524788385787398
orange_unripe,orange,unripe,138.7842,145.5871,102.6175,1.0490178201191647
orange_unripe,orange,unripe,214.7277,214.8178,203.85,1.000419596538222
orange_unripe,orange,unripe,145.9706,140.6784,104.9218,0.9637447474782954
orange_unripe,orange,unripe,141.1756,140.3283,102.7179,0.9939982476150394
orange_unripe,orange,unripe,144.3295,142.503,88.4989,0.9873449226433617
orange_unripe,orange,unripe,141.3695,146.4268,105.3141,1.0357736213555708
orange_unripe,orange,unripe,132.3094,131.3009,95.1607,0.9923777071592971
orange_unripe,orange,unripe,150.0696,146.1618,103.3832,0.9739600760316541
orange_unripe,orange,unripe,124.5106,128.5424,96.7786,1.032381170499691
orange_unripe,orange,unripe,220.1547,218.9678,179.5645,0.9946087864823746
orange_unripe,orange,unripe,143.1267,134.7051,94.9139,0.9411598189495054
orange_unripe,orange,unripe,153.4266,159.4065,111.2162,1.0389756336973142
orange_unripe,orange,unripe,101.4052,107.9587,75.0108,1.064626852817934
orange_unripe,orange,unripe,132.5793,137.682,100.6052,1.0384879009129788
orange_unripe,orange,unripe,136.206,145.5717,101.6708,1.0687612802023312
orange_unripe,orange,unripe,152.8451,158.2872,114.6963,1.0356053217564363
orange_unripe,orange,unripe,170.0411,171.1074,147.9653,1.0062708309563346
orange_unripe,orange,unripe,159.9045,152.3905,110.8743,0.9530094465571047
orange_unripe,orange,unripe,210.4647,213.7916,192.0174,1.015807396604716
orange_unripe,orange,unripe,144.1369,149.2694,115.7697,1.0356085011152
orange_unripe,orange,unripe,155.2644,150.5009,102.3192,0.9693200697048385
orange_unripe,orange,unripe,148.3493,137.0118,46.2205,0.9235756358568888
orange_unripe,orange,unripe,156.2198,151.9067,123.2127,0.9723908174739002
orange_unripe,orange,unripe,168.9081,161.9716,116.5536,0.9589332840820939
orange_unripe,orange,unripe,143.7359,153.0028,108.5067,1.0644717077329207
orange_unripe,orange,unripe,144.7187,142.111,110.8746,0.9819808982392675
orange_unripe,orange,unripe,158.9251,163.965,113.6734,1.0317124165300988
orange_unripe,orange,unripe,166.4699,171.7653,135.1963,1.0318099486344983
orange_unripe,orange,unripe,150.915,147.018,113.5349,0.9741775106902727
orange_unripe,orange,unripe,151.4955,158.1458,115.8739,1.0438976666376385
orange_unripe,orange,unripe,145.4394,151.4467,112.4818,1.0413044811701335
orange_unripe,orange,unripe,156.9212,155.5859,128.6351,0.9914906271970224
