condition,gr_ratio,hue_mean,sat_mean,lbp_std
unripe,1.0468844419203716,88.4098,57.3301,0.05575028250491993
unripe,0.9449021355943389,12.8184,54.2987,0.09701272080566396
unripe,1.025130144344957,84.577,54.6102,0.038942983959844274
unripe,0.9463834187203997,11.9715,54.4227,0.09835728746801209
unripe,0.9423540616233106,11.8833,52.7961,0.0975300363892969
unripe,0.9467811223781362,12.0279,55.9172,0.09899013081130961
unripe,0.9530288400339308,12.7931,56.457,0.09941629644089182
unripe,1.0396060641123757,90.9957,53.6771,0.061988127889391
unripe,1.1935944660069673,40.0943,146.2257,0.03943937118779795
unripe,1.0306905910823525,73.8621,54.1808,0.06656384904070566
unripe,1.0332012349616364,13.511,53.4359,0.13753770390775277
unripe,1.3569437732511502,44.9656,167.9684,0.05326374000605472
unripe,0.9490699834306796,12.275,52.6185,0.10149270908759823
unripe,1.0210539529364755,31.1113,110.038,0.10344961091207464
unripe,1.0339975891647637,71.307,57.843,0.06874916726080914
unripe,0.9446792302784256,12.3644,50.7402,0.09336352605946634
unripe,0.9476775254858972,12.0216,49.3512,0.10522427475533186
unripe,1.0295395806588845,83.0266,54.961,0.03466632371278571
unripe,0.9475468034941614,12.2211,53.3071,0.10501971242483085
unripe,1.0199557788301863,32.2153,153.818,0.08472484876684254
unripe,1.0396020994912238,76.3494,53.7122,0.06139286602893029
ripe,0.7823220902719614,36.5917,153.5171,0.054602380895009656
ripe,0.943534850635868,35.1751,28.6617,0.05198967204608445
ripe,0.997360715228293,75.2388,70.272,0.03927301872394744
ripe,0.9757559339455842,53.9771,43.4217,0.09201024941987072
ripe,0.9699099135337679,6.186,43.0148,0.21334957696441864
ripe,0.9054623345394797,58.3563,31.5449,0.03543622440030618
ripe,0.9136751635638688,45.5215,34.5483,0.0400935156811984
ripe,0.9271706911325835,79.079,73.2039,0.04131931751201298
ripe,0.927292754682535,61.2244,86.1405,0.046133783711877936
ripe,0.5475089459143053,7.725,158.3547,0.033496208737342215
ripe,0.9471939932940994,34.8744,57.4549,0.032556289711636634
ripe,0.981210211499725,4.5433,29.3165,0.23041237377663124
ripe,0.9504978808516651,56.1733,24.2489,0.04559859646506846
ripe,0.9274047760033303,78.6565,57.3711,0.047572176737536165
ripe,0.5454519036273008,5.494,142.5168,0.04369022773593922
ripe,0.9761666726886407,74.1157,63.3523,0.045769946466879576
ripe,0.964514304111993,72.6172,66.4185,0.0461562996737598
ripe,0.956515620120581,39.4875,22.4245,0.04151871866586491
ripe,0.9549582735500212,69.9042,79.3269,0.04211398817074064
ripe,0.9883698204449096,3.0874,18.2592,0.2504645164238909
ripe,0.9669072866859565,70.9135,58.7949,0.04548151272315254
ripe,0.9524201092513012,70.3548,71.1002,0.04174187345641692
ripe,0.9167921055104677,68.2456,85.9299,0.043775997985388435
ripe,0.9747466763647368,4.5341,30.6636,0.22764939707724938
ripe,0.9383447772171726,74.8465,60.2916,0.052554676285251734
ripe,1.0068406868473303,8.2681,37.3818,0.211480008490295
ripe,0.8531984751402245,15.2119,105.4057,0.05537121995573879
ripe,0.953183642858342,73.1798,73.5233,0.045241441174996205
ripe,0.9985708413055864,8.529,42.7522,0.20612489900907777
ripe,0.9165048234204097,29.1437,121.9507,0.03502758912278454
ripe,1.047497740926707,72.0227,37.0008,0.04203301083251882
ripe,0.9813466275858723,67.051,52.1004,0.04221781614015025
ripe,0.9664855172705815,70.3448,82.8311,0.04332336551590396
ripe,0.5636959598104914,6.9353,138.7489,0.04123236592362823
ripe,1.0069609859690682,57.5581,27.2623,0.11204021598287554
ripe,0.5313773774667601,6.5547,154.5246,0.03555682775146206
ripe,0.58336445359358,10.2239,135.3547,0.037837441770205156
ripe,0.9876301703686666,3.5369,21.4831,0.2449311862299322
ripe,0.9490742036430213,25.282,69.966,0.03171094447976728
ripe,0.9417189753973891,76.5724,52.6964,0.05624155047086964
ripe,0.967727724165748,50.0976,43.4801,0.08573910425546653
ripe,0.9780819707049293,97.3566,56.7031,0.08055451569404531
ripe,0.9685323203359353,4.9505,35.802,0.21630001847120325
ripe,0.9727751574892379,64.9893,88.1285,0.045864888526838066
ripe,0.9628271031668655,56.5505,37.0979,0.08941940504387644
ripe,0.5536305762868823,6.0354,143.8153,0.03805711496829904
ripe,0.5603754391806394,7.6273,131.3342,0.03502073671062203
ripe,0.6718194502850352,27.7934,178.5559,0.04384379089010831
ripe,0.9706394392734966,9.0628,64.3442,0.18081478920005742
ripe,0.9277136749453837,74.7868,55.5543,0.048708007550355675
ripe,0.9698775875947633,70.6518,72.5717,0.045736134506335804
ripe,0.9335880598202916,9.3651,65.7949,0.17041597341268125
ripe,0.9010050659580892,65.0089,53.1537,0.0526406116933095
ripe,0.950573392670271,32.3669,59.7444,0.03129182001424916
ripe,0.97263503493759,6.1621,43.1642,0.20009491745667204
