label,item,condition,red,green,blue,gr_ratio,pair,group
orange_ripe,orange,ripe,81.9853,73.5628,46.8267,0.8972681578616147,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,189.2087,168.7334,142.8512,0.8917845696747319,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,118.2046,106.1701,79.9145,0.8981892337676434,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,244.1964,186.9646,123.4151,0.7656320864450413,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,150.2231,124.8162,107.0689,0.8308722105263957,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,125.8851,123.2991,111.13,0.9794574498534183,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,160.4918,140.7806,124.602,0.8771825047935002,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,80.6831,74.4338,50.9044,0.9225451064405669,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,123.9392,127.8858,115.3902,1.0318430243874173,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,85.6711,94.1601,88.0878,1.0990882444711432,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,189.6002,150.3893,145.9069,0.7931916696649494,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,172.7673,147.651,125.1141,0.8546235262423878,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,172.7113,152.2352,127.8616,0.8814431894065808,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,150.8122,126.8094,102.9274,0.8408431092388872,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,194.2334,151.6163,140.637,0.7805881955390361,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,83.4934,75.2447,51.3949,0.9012053539416846,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,151.8273,128.1772,108.888,0.8442302481554355,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,230.0917,173.858,136.7298,0.7556030888745527,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,177.4513,150.8947,131.4066,0.8503442868531012,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,198.5323,154.9639,136.8343,0.7805475442507464,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,141.5599,143.8759,115.9006,1.0163605582063808,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,174.6427,157.4288,134.2433,0.9014336075803134,Mango Ripe vs Orange Ripe,B
orange_ripe,orange,ripe,186.051,163.372,140.0699,0.878103311037816,Mango Ripe vs Orange Ripe,B
mango_unripe,mango,unripe,232.0836,238.7169,223.843,1.028581506713178,Mango Unripe vs Tomato Unripe,A
mango_unripe,mango,unripe,213.1874,217.497,195.6765,1.0202150735915205,Mango Unripe vs Tomato Unripe,A
mango_unripe,mango,unripe,226.5855,236.0456,222.7304,1.0417506811258854,Mango Unripe vs Tomato Unripe,A
